,uranium_lead_ratio,carbon_14_ratio,radioactive_decay_series,stratigraphic_layer_depth,geological_period,paleomagnetic_data,inclusion_of_other_fossils,isotopic_composition,surrounding_rock_type,stratigraphic_position,fossil_size,fossil_weight,age
0,0.738061228375223,0.4877072421825824,0.9078835874218232,0.04567635379417983,Cretaceous,Normal polarity,False,0.9159513884026408,Conglomerate,Middle,0.1512904870024559,0.9143083551175438,43523
1,0.5600962062491213,0.3417380543473547,1.1213015733880922,0.6325937925993242,Cambrian,Normal polarity,False,0.8039680197972794,Limestone,Top,0.11792780686715174,0.6275400996456842,44112
2,0.4247727742702627,0.2184934689992139,0.103855459095781,1.0556927514471421,Cambrian,Normal polarity,True,0.7924405062482458,Shale,Bottom,-0.08947685464065615,0.6932661742068879,43480
3,0.3499581310333525,0.7046491886504214,0.3836167357011368,-0.271055179090029,Permian,Normal polarity,True,0.0746363778059943,Limestone,Bottom,-0.06278671053241269,0.18869832132545164,30228
4,0.8868112419177792,0.777493825978112,0.5932538141276905,1.804374024537211,Devonian,Normal polarity,True,1.6466404542148307,Shale,Top,0.8962049951346093,0.3520298026213921,67217
5,1.079099063604517,0.5895272448830222,0.5734660488090557,0.6241381354090523,Jurassic,Normal polarity,True,1.3915732548978594,Limestone,Bottom,0.17427366665122104,0.4802029347202363,77800
6,0.4675787777496756,0.6578902666825758,0.20516952693387,0.8864215579745935,Cambrian,Normal polarity,True,0.5140123745479614,Limestone,Bottom,0.011723275103099954,0.89306761150935,47130
7,0.3449638273931234,0.8726605884426992,0.6887718820607761,0.40310567595867003,Neogene,Normal polarity,True,0.0036717671431145,Conglomerate,Bottom,1.0070432324730085,0.9950086074196869,35982
8,0.4073114116126324,0.7939690519944627,0.1846024689476848,0.14556374340636546,Devonian,Normal polarity,True,0.6904267154005779,Conglomerate,Top,0.038413419211343405,0.09888968840229902,30105
9,0.3026387531950998,0.0282245906653836,0.3388703602455157,1.0290613825394632,Cambrian,Normal polarity,True,0.0164926801755911,Sandstone,Middle,1.0407766090542607,-0.08531820127699494,28568
10,0.2868001455754184,0.5255145877172219,0.6100440995361227,0.4024734772902384,Triassic,Reversed polarity,False,1.2803353500612595,Sandstone,Bottom,0.17408831842824718,1.7143156418220407,33178
11,0.6423540163310683,0.1601374042790563,0.6234096619072798,1.7836695181460775,Paleogene,Reversed polarity,True,0.3976149101210705,Sandstone,Bottom,0.3883508641860896,1.1303591434478868,59091
12,0.2512112183231728,0.2396889745851743,0.7203875959394346,-0.60746389552917,Cretaceous,Reversed polarity,True,1.1517592896889646,Limestone,Bottom,0.22635651730689044,1.3099399757717078,20152
13,0.4102087670247538,0.4588584736332056,0.7419320370460727,0.15275500325977437,Devonian,Reversed polarity,True,0.7033296262653517,Sandstone,Bottom,0.13257031648209078,-0.048666077658053135,41307
14,0.5703763534215538,0.3729535821176667,0.3316211952255123,0.6272991287512101,Cambrian,Normal polarity,False,1.477926628234512,Shale,Middle,-0.6812937305963578,0.26706682818861643,40775
